idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
244,-114.6275,35.13498,0.15927,0.74172,0.5718,0.7422,0.9594,0.96053,0.55211,0.09426,0.41742,0.2193,0.03336,0.99572,0.49702,0.47878
8781,-115.12116,35.94262,0.85287,0.0,0.85527,0.06422,0.0,0.16193,0.1463,0.24606,0.05584,0.14093,0.1869,0.71277,0.21307,0.21293
9453,-114.82784,35.97453,0.44527,0.77158,0.50679,0.61144,0.8134,0.64789,0.09055,0.00249,0.59201,0.47396,0.77516,0.48998,0.54173,0.53704
9538,-115.19127,35.98676,0.73971,0.86108,0.49138,0.2492,0.69683,0.47304,0.43178,0.52914,0.0754,0.2262,0.63942,0.9714,0.49252,0.49736
9673,-115.11131,35.99296,0.86614,0.96241,0.25374,0.78546,0.72251,0.4998,0.19777,0.26619,0.49592,0.431,0.18,0.74992,0.45256,0.44686
9783,-115.2531,36.00193,0.84798,0.81336,0.61952,0.11997,0.53796,0.20118,0.42668,0.15215,0.25414,0.12954,0.72718,0.99703,0.46979,0.46994
10048,-115.1375,36.01493,0.93914,0.88902,0.0,0.13285,0.98009,0.18035,0.42541,0.58363,0.17542,0.69596,1.0,0.0,0.58132,0.58725
10184,-115.04863,36.02097,0.21332,0.96599,0.56442,0.10836,0.0,0.40065,0.15866,0.27095,0.28854,0.12853,0.62969,0.97258,0.45006,0.47355
10194,-114.95991,36.01974,0.67439,0.0,0.0,0.83034,0.89002,0.87514,0.32582,0.14918,0.72993,0.49299,1.0,0.0,0.59256,0.58518
10578,-115.10144,36.0433,0.21087,0.9539,0.33102,0.20467,0.54412,0.64654,0.52622,0.3346,0.11561,0.24191,0.56586,0.85178,0.47947,0.4885
10877,-114.96801,36.0559,0.31783,0.83353,0.4947,0.17581,0.0,0.47614,0.56437,0.4107,0.32648,0.7157,0.25243,0.92748,0.40508,0.41947
10983,-115.30521,36.06742,0.3346,0.81602,0.84628,0.27064,0.0,0.14176,0.63449,0.70775,0.44951,0.71395,0.19686,0.95058,0.45806,0.46789
11741,-115.06477,36.1005,0.07649,0.95403,0.69256,0.70247,0.0,0.59459,0.96066,0.89378,0.76141,0.58511,0.22969,0.95892,0.59882,0.61669
11870,-115.24228,36.10995,0.70526,0.82598,0.54303,0.6675,0.95988,0.48854,0.60157,0.83414,0.64724,0.84279,0.40231,0.93482,0.59385,0.57096
12033,-115.13554,36.11584,0.76957,0.97926,0.84733,0.88854,0.84794,0.64222,0.68129,0.93451,0.78079,0.9294,0.24401,0.93862,0.71733,0.7088
12174,-115.29533,36.12499,0.87466,0.0,0.79917,0.79498,0.97354,0.60463,0.51303,0.75123,0.81515,0.69321,0.18267,0.39061,0.51498,0.48861
12866,-115.20594,36.15277,0.94818,0.99712,0.49343,0.86771,0.90229,0.8661,0.85676,0.75416,0.88714,0.52761,0.21266,0.99371,0.63116,0.61089
13064,-115.12581,36.15897,0.11722,0.0,0.0,0.999,0.0,0.99489,0.79232,0.85339,0.98284,0.08387,1.0,0.0,0.62337,0.65354
13483,-115.05441,36.17245,0.51329,0.0,0.68596,0.71102,0.83859,0.70164,0.94665,0.90094,0.80393,0.98891,0.47457,0.31404,0.58182,0.56992
13658,-115.32989,36.18305,0.779,0.7904,0.44763,0.04654,0.43209,0.11102,0.2864,0.38018,0.45711,0.3267,0.74185,0.91552,0.4524,0.46069
13669,-115.23208,36.18192,0.25034,0.0,0.87221,0.46191,0.94647,0.67597,0.8017,0.77193,0.60013,0.84789,0.49216,0.738,0.61363,0.59706
14089,-115.16957,36.19558,0.39428,0.90076,0.0,0.969,0.0,0.94503,0.70116,0.76734,0.96804,0.62314,1.0,0.0,0.70126,0.74002
14104,-115.03619,36.19383,0.12587,0.77158,0.52089,0.3239,0.0,0.80039,0.90757,0.84182,0.37948,0.45588,0.65999,0.92993,0.61014,0.63813
14702,-115.2759,36.21849,0.24217,0.85711,0.92286,0.60358,0.0,0.48461,0.32949,0.25964,0.71718,0.33656,0.30893,0.99677,0.5533,0.57375
14722,-115.098,36.21629,0.29723,0.92486,0.0,0.65505,0.65134,0.31989,0.97695,0.9563,0.80912,0.92687,1.0,0.0,0.69656,0.70744
15337,-115.23103,36.23959,0.82537,0.96953,0.39467,0.24003,0.66702,0.67409,0.5769,0.43392,0.46592,0.55499,0.67439,0.99428,0.58563,0.58499
16389,-115.16806,36.27486,0.86208,0.80432,0.70635,0.08527,0.65772,0.76953,0.75861,0.57311,0.24506,0.62091,0.46867,0.97468,0.54745,0.55417
16801,-115.2212,36.28994,0.69727,0.74613,0.2547,0.63222,0.50749,0.69919,0.38943,0.221,0.1322,0.1363,0.71238,0.92264,0.50986,0.51887
17001,-115.30121,36.29809,0.89081,0.65361,0.64737,0.6275,0.0,0.32757,0.41563,0.29976,0.50461,0.47653,0.55246,0.9473,0.44938,0.45447
24613,-114.44814,36.5448,0.06186,0.0,0.49906,0.84741,0.62637,0.95743,0.19908,0.23711,0.84401,0.05938,0.80389,0.56909,0.5413,0.53799
32325,-114.08214,36.80411,0.41109,0.92155,0.4585,0.73285,0.77542,0.93635,0.65916,0.64894,0.60419,0.4461,0.26239,0.97848,0.5924,0.5915
